"service_id","date","exception_type"
"1_1_20241230","20250211","2"
"1_4_20241230","20250211","1"
"1_1_20241230","20250224","2"
"1_4_20241230","20250224","1"
"5_2_20241230","20241230","2"
"5_5_20241230","20241230","1"
"5_2_20241230","20241231","2"
"5_5_20241230","20241231","1"
"5_2_20241230","20250101","2"
"5_5_20241230","20250101","1"
"5_2_20241230","20250102","2"
"5_5_20241230","20250102","1"
"5_2_20241230","20250103","2"
"5_5_20241230","20250103","1"
"5_2_20241230","20250106","2"
"5_5_20241230","20250106","1"
"5_2_20241230","20250107","2"
"5_5_20241230","20250107","1"
"5_2_20241230","20250108","2"
"5_5_20241230","20250108","1"
"5_2_20241230","20250109","2"
"5_5_20241230","20250109","1"
"5_2_20241230","20250110","2"
"5_5_20241230","20250110","1"
"5_2_20241230","20250113","2"
"5_5_20241230","20250113","1"
"5_2_20241230","20250114","2"
"5_5_20241230","20250114","1"
"5_2_20241230","20250115","2"
"5_5_20241230","20250115","1"
"5_2_20241230","20250116","2"
"5_5_20241230","20250116","1"
"5_2_20241230","20250117","2"
"5_5_20241230","20250117","1"
"5_2_20241230","20250120","2"
"5_5_20241230","20250120","1"
"5_2_20241230","20250121","2"
"5_5_20241230","20250121","1"
"5_2_20241230","20250122","2"
"5_5_20241230","20250122","1"
"5_2_20241230","20250123","2"
"5_5_20241230","20250123","1"
"5_2_20241230","20250124","2"
"5_5_20241230","20250124","1"
"5_2_20241230","20250127","2"
"5_5_20241230","20250127","1"
"5_2_20241230","20250128","2"
"5_5_20241230","20250128","1"
"5_2_20241230","20250129","2"
"5_5_20241230","20250129","1"
"5_2_20241230","20250130","2"
"5_5_20241230","20250130","1"
"5_2_20241230","20250131","2"
"5_5_20241230","20250131","1"
"5_2_20241230","20250203","2"
"5_5_20241230","20250203","1"
"5_2_20241230","20250204","2"
"5_5_20241230","20250204","1"
"5_2_20241230","20250205","2"
"5_5_20241230","20250205","1"
"5_2_20241230","20250206","2"
"5_5_20241230","20250206","1"
"5_2_20241230","20250207","2"
"5_5_20241230","20250207","1"
"5_2_20241230","20250210","2"
"5_5_20241230","20250210","1"
"5_2_20241230","20250211","2"
"5_5_20241230","20250211","1"
"5_2_20241230","20250212","2"
"5_5_20241230","20250212","1"
"5_2_20241230","20250213","2"
"5_5_20241230","20250213","1"
"5_2_20241230","20250214","2"
"5_5_20241230","20250214","1"
"5_2_20241230","20250217","2"
"5_5_20241230","20250217","1"
"5_2_20241230","20250218","2"
"5_5_20241230","20250218","1"
"5_2_20241230","20250219","2"
"5_5_20241230","20250219","1"
"5_2_20241230","20250220","2"
"5_5_20241230","20250220","1"
"5_2_20241230","20250221","2"
"5_5_20241230","20250221","1"
"5_2_20241230","20250224","2"
"5_5_20241230","20250224","1"
"5_2_20241230","20250225","2"
"5_5_20241230","20250225","1"
"5_2_20241230","20250226","2"
"5_5_20241230","20250226","1"
"5_2_20241230","20250227","2"
"5_5_20241230","20250227","1"
"5_2_20241230","20250228","2"
"5_5_20241230","20250228","1"
"5_2_20241230","20250303","2"
"5_5_20241230","20250303","1"
"5_2_20241230","20250304","2"
"5_5_20241230","20250304","1"
"5_2_20241230","20250305","2"
"5_5_20241230","20250305","1"
"5_2_20241230","20250306","2"
"5_5_20241230","20250306","1"
"5_2_20241230","20250307","2"
"5_5_20241230","20250307","1"
"5_2_20241230","20250310","2"
"5_5_20241230","20250310","1"
"5_2_20241230","20250311","2"
"5_5_20241230","20250311","1"
"5_2_20241230","20250312","2"
"5_5_20241230","20250312","1"
"5_2_20241230","20250313","2"
"5_5_20241230","20250313","1"
"5_2_20241230","20250314","2"
"5_5_20241230","20250314","1"
