"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"4_2246_20241230","20:30:00","20:30:00","18_7","1",,"0","1",
"4_2246_20241230","20:33:00","20:33:00","222_2","2",,"0","0",
"4_2246_20241230","20:35:00","20:35:00","226_1","3",,"0","0",
"4_2246_20241230","20:37:00","20:37:00","10020_1","4",,"0","0",
"4_2246_20241230","20:37:00","20:37:00","10021_1","5",,"0","0",
"4_2246_20241230","20:38:00","20:38:00","10022_1","6",,"0","0",
"4_2246_20241230","20:38:00","20:38:00","10023_1","7",,"0","0",
"4_2246_20241230","20:38:00","20:38:00","10024_1","8",,"0","0",
"4_2246_20241230","20:39:00","20:39:00","10025_1","9",,"0","0",
"4_2246_20241230","20:39:00","20:39:00","10026_1","10",,"0","0",
"4_2246_20241230","20:40:00","20:40:00","10027_1","11",,"0","0",
"4_2246_20241230","20:41:00","20:41:00","10028_1","12",,"0","0",
"4_2246_20241230","20:42:00","20:42:00","10029_3","13",,"0","0",
"4_2246_20241230","20:42:00","20:42:00","10059_1","14",,"0","0",
"4_2246_20241230","20:43:00","20:43:00","10060_1","15",,"0","0",
"4_2246_20241230","20:44:00","20:44:00","10061_1","16",,"0","0",
"4_2246_20241230","20:45:00","20:45:00","10062_1","17",,"0","0",
"4_2246_20241230","20:46:00","20:46:00","10063_1","18",,"0","0",
"4_2246_20241230","20:47:00","20:47:00","10064_1","19",,"0","0",
"4_2246_20241230","20:48:00","20:48:00","10065_1","20",,"0","0",
"4_2246_20241230","20:48:00","20:48:00","10066_1","21",,"0","0",
"4_2246_20241230","20:49:00","20:49:00","10067_1","22",,"0","0",
"4_2246_20241230","20:49:00","20:49:00","10068_1","23",,"0","0",
"4_2246_20241230","20:50:00","20:50:00","10069_1","24",,"0","0",
"4_2246_20241230","20:50:00","20:50:00","10070_1","25",,"0","0",
"4_2246_20241230","20:51:00","20:51:00","10071_1","26",,"0","0",
"4_2246_20241230","20:51:00","20:51:00","10072_1","27",,"0","0",
"4_2246_20241230","20:52:00","20:52:00","10081_1","28",,"0","0",
"4_2246_20241230","20:57:00","20:57:00","10085_1","29",,"0","0",
"4_2246_20241230","21:01:00","21:01:00","10086_9","30",,"1","0",
"4_2251_20241230","19:50:00","19:50:00","27_15","1",,"0","1",
"4_2251_20241230","19:52:00","19:52:00","22_5","2",,"0","0",
"4_2251_20241230","19:54:00","19:54:00","19_7","3",,"0","0",
"4_2251_20241230","19:56:00","19:56:00","18_7","4",,"0","0",
"4_2251_20241230","19:59:00","19:59:00","222_2","5",,"0","0",
"4_2251_20241230","20:01:00","20:01:00","226_1","6",,"0","0",
"4_2251_20241230","20:03:00","20:03:00","10020_1","7",,"0","0",
"4_2251_20241230","20:03:00","20:03:00","10021_1","8",,"0","0",
"4_2251_20241230","20:04:00","20:04:00","10022_1","9",,"0","0",
"4_2251_20241230","20:04:00","20:04:00","10023_1","10",,"0","0",
"4_2251_20241230","20:04:00","20:04:00","10024_1","11",,"0","0",
"4_2251_20241230","20:05:00","20:05:00","10025_1","12",,"0","0",
"4_2251_20241230","20:05:00","20:05:00","10026_1","13",,"0","0",
"4_2251_20241230","20:06:00","20:06:00","10027_1","14",,"0","0",
"4_2251_20241230","20:07:00","20:07:00","10028_1","15",,"0","0",
"4_2251_20241230","20:08:00","20:08:00","10029_3","16",,"0","0",
"4_2251_20241230","20:08:00","20:08:00","10059_1","17",,"0","0",
"4_2251_20241230","20:09:00","20:09:00","10060_1","18",,"0","0",
"4_2251_20241230","20:10:00","20:10:00","10061_1","19",,"0","0",
"4_2251_20241230","20:11:00","20:11:00","10062_1","20",,"0","0",
"4_2251_20241230","20:12:00","20:12:00","10063_1","21",,"0","0",
"4_2251_20241230","20:13:00","20:13:00","10064_1","22",,"0","0",
"4_2251_20241230","20:14:00","20:14:00","10065_1","23",,"0","0",
"4_2251_20241230","20:14:00","20:14:00","10066_1","24",,"0","0",
"4_2251_20241230","20:15:00","20:15:00","10067_1","25",,"0","0",
"4_2251_20241230","20:15:00","20:15:00","10068_1","26",,"0","0",
"4_2251_20241230","20:16:00","20:16:00","10069_1","27",,"0","0",
"4_2251_20241230","20:16:00","20:16:00","10070_1","28",,"0","0",
"4_2251_20241230","20:17:00","20:17:00","10071_1","29",,"0","0",
"4_2251_20241230","20:17:00","20:17:00","10072_1","30",,"0","0",
"4_2251_20241230","20:18:00","20:18:00","10081_1","31",,"0","0",
"4_2251_20241230","20:19:00","20:19:00","10080_2","32",,"0","0",
"4_2251_20241230","20:19:00","20:19:00","10079_2","33",,"0","0",
"4_2251_20241230","20:20:00","20:20:00","10078_2","34",,"0","0",
"4_2251_20241230","20:21:00","20:21:00","10077_2","35",,"0","0",
"4_2251_20241230","20:23:00","20:23:00","10076_2","36",,"0","0",
"4_2251_20241230","20:24:00","20:24:00","10075_2","37",,"0","0",
"4_2251_20241230","20:25:00","20:25:00","10074_2","38",,"0","0",
"4_2251_20241230","20:27:00","20:27:00","10073_2","39",,"0","0",
"4_2251_20241230","20:30:00","20:30:00","10032_2","40",,"0","0",
"4_2251_20241230","20:35:00","20:35:00","10031_2","41",,"1","0",
"4_2278_20241230","19:46:00","19:46:00","10086_2","1",,"0","1",
"4_2278_20241230","19:46:00","19:46:00","10085_2","2",,"0","0",
"4_2278_20241230","19:51:00","19:51:00","10081_2","3",,"0","0",
"4_2278_20241230","19:51:00","19:51:00","10072_2","4",,"0","0",
"4_2278_20241230","19:52:00","19:52:00","10071_2","5",,"0","0",
"4_2278_20241230","19:52:00","19:52:00","10070_2","6",,"0","0",
"4_2278_20241230","19:53:00","19:53:00","10069_2","7",,"0","0",
"4_2278_20241230","19:53:00","19:53:00","10068_2","8",,"0","0",
"4_2278_20241230","19:54:00","19:54:00","10067_2","9",,"0","0",
"4_2278_20241230","19:54:00","19:54:00","10066_2","10",,"0","0",
"4_2278_20241230","19:55:00","19:55:00","10065_2","11",,"0","0",
"4_2278_20241230","19:56:00","19:56:00","10064_2","12",,"0","0",
"4_2278_20241230","19:57:00","19:57:00","10063_2","13",,"0","0",
"4_2278_20241230","19:57:00","19:57:00","10062_2","14",,"0","0",
"4_2278_20241230","19:58:00","19:58:00","10061_2","15",,"0","0",
"4_2278_20241230","19:59:00","19:59:00","10060_2","16",,"0","0",
"4_2278_20241230","19:59:00","19:59:00","10059_2","17",,"0","0",
"4_2278_20241230","20:01:00","20:01:00","10029_2","18",,"0","0",
"4_2278_20241230","20:02:00","20:02:00","10028_2","19",,"0","0",
"4_2278_20241230","20:03:00","20:03:00","10027_2","20",,"0","0",
"4_2278_20241230","20:04:00","20:04:00","10026_2","21",,"0","0",
"4_2278_20241230","20:04:00","20:04:00","10025_2","22",,"0","0",
"4_2278_20241230","20:05:00","20:05:00","10024_2","23",,"0","0",
"4_2278_20241230","20:05:00","20:05:00","10023_2","24",,"0","0",
"4_2278_20241230","20:06:00","20:06:00","10022_2","25",,"0","0",
"4_2278_20241230","20:06:00","20:06:00","10021_2","26",,"0","0",
"4_2278_20241230","20:07:00","20:07:00","10020_2","27",,"0","0",
"4_2278_20241230","20:08:00","20:08:00","10019_2","28",,"0","0",
"4_2278_20241230","20:09:00","20:09:00","226_2","29",,"0","0",
"4_2278_20241230","20:11:00","20:11:00","222_1","30",,"0","0",
"4_2278_20241230","20:13:00","20:13:00","34_1","31",,"0","0",
"4_2278_20241230","20:15:00","20:15:00","18_1","32",,"0","0",
"4_2239_20241230","19:20:00","19:20:00","27_15","1",,"0","1",
"4_2239_20241230","19:22:00","19:22:00","22_5","2",,"0","0",
"4_2239_20241230","19:24:00","19:24:00","19_7","3",,"0","0",
"4_2239_20241230","19:27:00","19:27:00","18_7","4",,"0","0",
