"trans_id","lang","translation"
"さい","en","Sai"
"さい","ja","さい"
"さい","ja-Hrkt","サイ"
"さこ","en","Sako"
"さこ","ja","さこ"
"さこ","ja-Hrkt","サコ"
"ダミー","en","Dummy"
"ダミー","ja","ダミー"
"ダミー","ja-Hrkt","ダミー"
"ヲフダ","en","Ofuda"
"ヲフダ","ja","ヲフダ"
"ヲフダ","ja-Hrkt","オフダ"
"どんどん","en","Dondon"
"どんどん","ja","どんどん"
"どんどん","ja-Hrkt","ドンドン"
"ドンドン","en","Dondon"
"ドンドン","ja","ドンドン"
"ドンドン","ja-Hrkt","ドンドン"
"ヤットコ","en","Yattoko"
"ヤットコ","ja","ヤットコ"
"ヤットコ","ja-Hrkt","ヤットコ"
"きびハイツ","en","Kibi Haitsu"
"きびハイツ","ja","きびハイツ"
"きびハイツ","ja-Hrkt","キビハイツ"
"きびプラザ","en","Kibi Plaza"
"きびプラザ","ja","きびプラザ"
"きびプラザ","ja-Hrkt","キビプラザ"
"じゅずくり","en","Jozukuri"
"じゅずくり","ja","じゅずくり"
"じゅずくり","ja-Hrkt","ジュズクリ"
"いきいきプラザ","en","Ikiiki Plaza"
"いきいきプラザ","ja","いきいきプラザ"
"いきいきプラザ","ja-Hrkt","イキイキプラザ"
"たけべクリニック","en","Takebe Clinic"
"たけべクリニック","ja","たけべクリニック"
"たけべクリニック","ja-Hrkt","タケベクリニック"
"ふれあいセンター","en","Fureai Center"
"ふれあいセンター","ja","ふれあいセンター"
"ふれあいセンター","ja-Hrkt","フレアイセンター"
"スポーツセンター","en","Sports Center"
"スポーツセンター","ja","スポーツセンター"
"スポーツセンター","ja-Hrkt","スポーツセンター"
"リバーサイドホテル","en","Riverside Hotel"
"リバーサイドホテル","ja","リバーサイドホテル"
"リバーサイドホテル","ja-Hrkt","リバーサイドホテル"
"ファーマーズマーケット","en","Farmer's Market"
"ファーマーズマーケット","ja","ファーマーズマーケット"
"ファーマーズマーケット","ja-Hrkt","ファーマーズマーケット"
"ホールサムインせとうち","en","Wholesome Inn Setouchi"
"ホールサムインせとうち","ja","ホールサムインせとうち"
"ホールサムインせとうち","ja-Hrkt","ホールサムインセトウチ"
"21世紀の森入口","en","21seikinomori-Iriguchi"
"21世紀の森入口","ja","21世紀の森入口"
"21世紀の森入口","ja-Hrkt","ニジュウイッセイキノモリイリグチ"
"DCM岡山・Pモール藤田前","en","DCM Okayama/P.MALL Fujita-mae"
"DCM岡山・Pモール藤田前","ja","DCM岡山・Pモール藤田前"
"DCM岡山・Pモール藤田前","ja-Hrkt","ディーシーエムオカヤマピーモールフジタマエ"
"エブリイOkanaka津高店前","en","Every-Okanaka,Tsudaka"
"エブリイOkanaka津高店前","ja","エブリイOkanaka津高店前"
"エブリイOkanaka津高店前","ja-Hrkt","エブリイオカナカツダカテンマエ"
"一区","en","Ikku"
"一区","ja","一区"
"一区","ja-Hrkt","イック"
"一宮小入口","en","Ichinomiyasho Iriguchi"
"一宮小入口","ja","一宮小入口"
"一宮小入口","ja-Hrkt","イチノミヤショウイリグチ"
"一宮東","en","Ichinomiya-higashi"
"一宮東","ja","一宮東"
"一宮東","ja-Hrkt","イチノミヤヒガシ"
"一方","en","Ippou"
"一方","ja","一方"
"一方","ja-Hrkt","イッポウ"
"一方中","en","Ippou-naka"
"一方中","ja","一方中"
"一方中","ja-Hrkt","イッポウナカ"
"一方公会堂前","en","Ippo Kokaido-mae"
"一方公会堂前","ja","一方公会堂前"
"一方公会堂前","ja-Hrkt","イッポウコウカイドウマエ"
"一本松","en","Ipponmatsu"
"一本松","ja","一本松"
"一本松","ja-Hrkt","イッポンマツ"
"七区入口","en","Nanaku Iriguchi"
"七区入口","ja","七区入口"
"七区入口","ja-Hrkt","ナナクイリグチ"
"七島","en","Nanashima"
"七島","ja","七島"
"七島","ja-Hrkt","ナナシマ"
"万代","en","Mandai"
"万代","ja","万代"
"万代","ja-Hrkt","マンダイ"
"万成","en","Mannari"
"万成","ja","万成"
"万成","ja-Hrkt","マンナリ"
"三井E&S日の田正門前","en","Mitsui E&S Hinota Seimon-mae"
"三井E&S日の田正門前","ja","三井E&S日の田正門前"
"三井E&S日の田正門前","ja-Hrkt","ミツイイーアンドエスヒノタセイモンマエ"
"三井E&S玉正門前","en","Mitsui E&S Tama Seimon-mae"
"三井E&S玉正門前","ja","三井E&S玉正門前"
"三井E&S玉正門前","ja-Hrkt","ミツイイーアンドエスタマセイモンマエ"
"三井製糖前","en","Mitsui Seito-mae"
"三井製糖前","ja","三井製糖前"
"三井製糖前","ja-Hrkt","ミツイセイトウマエ"
"三和紙工前","en","Sanwa Shiko-mae"
"三和紙工前","ja","三和紙工前"
"三和紙工前","ja-Hrkt","サンワシコウマエ"
"三成","en","Sannari"
"三成","ja","三成"
"三成","ja-Hrkt","サンナリ"
"三手口","en","Mite-guchi"
"三手口","ja","三手口"
"三手口","ja-Hrkt","ミテグチ"
"三木","en","Mitsuki"
"三木","ja","三木"
"三木","ja-Hrkt","ミツキ"
"三浜町","en","Mihamacho"
"三浜町","ja","三浜町"
"三浜町","ja-Hrkt","ミハマチョウ"
"三浦","en","Miura"
"三浦","ja","三浦"
"三浦","ja-Hrkt","ミウラ"
"三田口","en","Mitsudaguchi"
"三田口","ja","三田口"
"三田口","ja-Hrkt","ミツダグチ"
"三納谷口","en","Minotani-guchi"
"三納谷口","ja","三納谷口"
"三納谷口","ja-Hrkt","ミノタニグチ"
"三菱正門西","en","Mitsubishi Seimon-nishi"
"三菱正門西","ja","三菱正門西"
"三菱正門西","ja-Hrkt","ミツビシセイモンニシ"
"三蟠南","en","Samban-minami"
"三蟠南","ja","三蟠南"
"三蟠南","ja-Hrkt","サンバンミナミ"
"三蟠用水","en","Samban Yosui"
"三蟠用水","ja","三蟠用水"
"三蟠用水","ja-Hrkt","サンバンヨウスイ"
"三蟠農協前","en","Samban Nokyo-mae"
"三蟠農協前","ja","三蟠農協前"
"三蟠農協前","ja-Hrkt","サンバンノウキョウマエ"
"三蟠郵便局前","en","Samban Yubinkyoku-mae"
"三蟠郵便局前","ja","三蟠郵便局前"
"三蟠郵便局前","ja-Hrkt","サンバンユウビンキョクマエ"
"三蟠郵便局北","en","Samban Yubinkyoku-kita"
"三蟠郵便局北","ja","三蟠郵便局北"
"三蟠郵便局北","ja-Hrkt","サンバンユウビンキョクキタ"
"三谷公会堂","en","Mitanikokaido"
"三谷公会堂","ja","三谷公会堂"
"三谷公会堂","ja-Hrkt","ミタニコウカイドウ"
"三谷口","en","Mitani-guchi"
"三谷口","ja","三谷口"
"三谷口","ja-Hrkt","ミタニグチ"
"三谷橋","en","Mitanibashi"
"三谷橋","ja","三谷橋"
"三谷橋","ja-Hrkt","ミタニバシ"
"三軒屋","en","Sangen-ya"
"三軒屋","ja","三軒屋"
"三軒屋","ja-Hrkt","サンケンヤ"
"三軒屋自衛隊前","en","Sangenya Jieitai-mae"
"三軒屋自衛隊前","ja","三軒屋自衛隊前"
"三軒屋自衛隊前","ja-Hrkt","サンゲンヤジエイタイマエ"
"三野","en","Mino"
"三野","ja","三野"
"三野","ja-Hrkt","ミノ"
"三門","en","Mikado"
"三門","ja","三門"
"三門","ja-Hrkt","ミカド"
"三門二丁目","en","Mikado 2-chome"
"三門二丁目","ja","三門二丁目"
"三門二丁目","ja-Hrkt","ミカドニチョウメ"
"上中野","en","Kaminakano"
"上中野","ja","上中野"
"上中野","ja-Hrkt","カミナカノ"
"上中野二丁目","en","Kaminakano 2-chome"
"上中野二丁目","ja","上中野二丁目"
"上中野二丁目","ja-Hrkt","カミナカノニチョウメ"
"上井原","en","Kamiihara"
"上井原","ja","上井原"
"上井原","ja-Hrkt","カミイハラ"
"上伊田","en","Kamiita"
"上伊田","ja","上伊田"
"上伊田","ja-Hrkt","カミイタ"
"上伊田大師堂","en","Kamiita Daishido"
"上伊田大師堂","ja","上伊田大師堂"
"上伊田大師堂","ja-Hrkt","カミイタダイシドウ"
"上光寺","en","Jokoji"
"上光寺","ja","上光寺"
"上光寺","ja-Hrkt","ジョウコウジ"
"上加茂","en","Kamigamo"
"上加茂","ja","上加茂"
"上加茂","ja-Hrkt","カミガモ"
"上南中学校前","en","Jonan Chugakko-mae（Jonan Junior High School）"
"上南中学校前","ja","上南中学校前"
"上南中学校前","ja-Hrkt","ジョウナンチュウガッコウマエ"
"上原口","en","Kanbara-guchi"
"上原口","ja","上原口"
"上原口","ja-Hrkt","カンバラグチ"
"上在所","en","Uezaisho"
"上在所","ja","上在所"
"上在所","ja-Hrkt","ウエザイショ"
"上寺入口","en","Uedera Iriguchi"
"上寺入口","ja","上寺入口"
"上寺入口","ja-Hrkt","ウエテライリグチ"
"上小倉","en","Kamiogura"
"上小倉","ja","上小倉"
"上小倉","ja-Hrkt","カミオグラ"
"上山口","en","Ueyama-guchi"
"上山口","ja","上山口"
"上山口","ja-Hrkt","ウエヤマグチ"
"上山坂","en","Kamiyamasaka"
"上山坂","ja","上山坂"
"上山坂","ja-Hrkt","カミヤマサカ"
"上山田","en","Kamiyamada"
"上山田","ja","上山田"
"上山田","ja-Hrkt","カミヤマダ"
"上山田東","en","Kamiyamada-higashi"
"上山田東","ja","上山田東"
"上山田東","ja-Hrkt","カミヤマダヒガシ"
"上市瀬","en","Kamiichize"
"上市瀬","ja","上市瀬"
"上市瀬","ja-Hrkt","カミイチゼ"
"上平井","en","Kamihirai"
"上平井","ja","上平井"
"上平井","ja-Hrkt","カミヒライ"
"上成","en","Uwanari"
"上成","ja","上成"
"上成","ja-Hrkt","ウワナリ"
"上支富田","en","Kamishitonda"
"上支富田","ja","上支富田"
"上支富田","ja-Hrkt","カミシトンダ"
"上村","en","Kamimura"
"上村","ja","上村"
"上村","ja-Hrkt","カミムラ"
"上村上","en","Kamimura-kami"
"上村上","ja","上村上"
"上村上","ja-Hrkt","カミムラカミ"
"上森原","en","Kanmoribara"
"上森原","ja","上森原"
"上森原","ja-Hrkt","カンモリバラ"
"上江川","en","Kamiegawa"
"上江川","ja","上江川"
"上江川","ja-Hrkt","カミエガワ"
"上河原","en","Kamigawara"
"上河原","ja","上河原"
"上河原","ja-Hrkt","カミガワラ"
"上河原上","en","Kamigawara-kami"
"上河原上","ja","上河原上"
"上河原上","ja-Hrkt","カミガワラカミ"
"上河原中","en","Kamigawara-naka"
"上河原中","ja","上河原中"
"上河原中","ja-Hrkt","カミガワラナカ"
"上田口","en","Ueda-guchi"
"上田口","ja","上田口"
"上田口","ja-Hrkt","ウエダグチ"
"上田西口","en","Ueda Nishiguchi"
"上田西口","ja","上田西口"
"上田西口","ja-Hrkt","ウエダニシグチ"
"上町川","en","Kamimachigawa"
"上町川","ja","上町川"
"上町川","ja-Hrkt","カミマチガワ"
"上畝","en","Kamiune"
"上畝","ja","上畝"
"上畝","ja-Hrkt","カミウネ"
"上福田","en","Kamifukuda"
"上福田","ja","上福田"
"上福田","ja-Hrkt","カミフクダ"
"上芳賀","en","Kamihaga"
"上芳賀","ja","上芳賀"
"上芳賀","ja-Hrkt","カミハガ"
"上芳賀中","en","Kamihaga-naka"
"上芳賀中","ja","上芳賀中"
"上芳賀中","ja-Hrkt","カミハガナカ"
"上野口","en","Ueno-guchi"
"上野口","ja","上野口"
"上野口","ja-Hrkt","ウエノグチ"
"上野田","en","Kaminoda"
"上野田","ja","上野田"
"上野田","ja-Hrkt","カミノダ"
"上野農協前","en","Ueno Nokyo-mae"
"上野農協前","ja","上野農協前"
"上野農協前","ja-Hrkt","ウエノノウキョウマエ"
"上阿知中","en","Kamiachi-naka"
"上阿知中","ja","上阿知中"
"上阿知中","ja-Hrkt","カミアチナカ"
"上阿知東","en","Kamiachi-higashi"
"上阿知東","ja","上阿知東"
"上阿知東","ja-Hrkt","カミアチヒガシ"
"上阿知西","en","Kamiachi-nishi"
"上阿知西","ja","上阿知西"
"上阿知西","ja-Hrkt","カミアチニシ"
"上齋原","en","Kamisaibara"
"上齋原","ja","上齋原"
"上齋原","ja-Hrkt","カミサイバラ"
"上齋原上","en","Kamisaibara-kami"
"上齋原上","ja","上齋原上"
"上齋原上","ja-Hrkt","カミサイバラカミ"
"上齋原下","en","Kamisaibara-shimo"
"上齋原下","ja","上齋原下"
"上齋原下","ja-Hrkt","カミサイバラシモ"
"上齋原発電所前","en","Kamisaibara Hatsudensho-mae"
"上齋原発電所前","ja","上齋原発電所前"
"上齋原発電所前","ja-Hrkt","カミサイバラハツデンショマエ"
"下中野","en","ShimoNakano"
"下中野","ja","下中野"
"下中野","ja-Hrkt","シモナカノ"
"下中野北","en","Shimonakano-kita"
"下中野北","ja","下中野北"
"下中野北","ja-Hrkt","シモナカノキタ"
"下中野本町","en","Shimonakako Hommachi"
"下中野本町","ja","下中野本町"
"下中野本町","ja-Hrkt","シモナカノホンマチ"
"下伊田集会所前","en","Shimoita Shukaisho-mae"
"下伊田集会所前","ja","下伊田集会所前"
"下伊田集会所前","ja-Hrkt","シモイタシュウカイショマエ"
"下伊福一丁目","en","Shimo-Ifuku 1-chome"
"下伊福一丁目","ja","下伊福一丁目"
"下伊福一丁目","ja-Hrkt","シモイフクイッチョウ"
"下伊福二丁目","en","Shimo-Ifuku 2-chome"
"下伊福二丁目","ja","下伊福二丁目"
"下伊福二丁目","ja-Hrkt","シモイフクニチョウメ"
"下加茂","en","Shimogamo"
"下加茂","ja","下加茂"
"下加茂","ja-Hrkt","シモガモ"
"下の原","en","Shimonohara"
"下の原","ja","下の原"
"下の原","ja-Hrkt","シモノハラ"
"下の原南・旭川荘南地区前","en","Shimonohara-minami/Asahigawasou Minami Chiku-mae"
"下の原南・旭川荘南地区前","ja","下の原南・旭川荘南地区前"
"下の原南・旭川荘南地区前","ja-Hrkt","シモノハラミナミアサヒガワソウミナミチクマエ"
"下土井","en","Shimodoi"
"下土井","ja","下土井"
"下土井","ja-Hrkt","シモドイ"
"下土井局前","en","Shimodoikyoku-mae"
"下土井局前","ja","下土井局前"
"下土井局前","ja-Hrkt","シモドイキョクマエ"
"下土居","en","Shimodoi"
"下土居","ja","下土居"
"下土居","ja-Hrkt","シモドイ"
"下土田","en","Shimotsuchida"
"下土田","ja","下土田"
"下土田","ja-Hrkt","シモツチダ"
"下尾原","en","Shimoobara"
"下尾原","ja","下尾原"
"下尾原","ja-Hrkt","シモオバラ"
"下山田","en","Shimoyamada"
"下山田","ja","下山田"
"下山田","ja-Hrkt","シモヤマダ"
"下市瀬落合インター","en","Shimoichizeochiai Inter"
"下市瀬落合インター","ja","下市瀬落合インター"
"下市瀬落合インター","ja-Hrkt","シモイチゼオチアイインター"
"下押入","en","Shimooshiire"
"下押入","ja","下押入"
"下押入","ja-Hrkt","シモオシイレ"
"下撫川","en","Shimonatsukawa"
"下撫川","ja","下撫川"
"下撫川","ja-Hrkt","シモナツカワ"
"下津川","en","Shimotsugawa"
"下津川","ja","下津川"
"下津川","ja-Hrkt","シモツガワ"
"下湯原","en","Shimoyubara"
"下湯原","ja","下湯原"
"下湯原","ja-Hrkt","シモユバラ"
"下田","en","Shimoda"
"下田","ja","下田"
"下田","ja-Hrkt","シモダ"
"下田下","en","Shimoda-shimo"
"下田下","ja","下田下"
"下田下","ja-Hrkt","シモダシモ"
"下田中","en","Shimodanaka"
"下田中","ja","下田中"
"下田中","ja-Hrkt","シモダナカ"
"下畑","en","Shimohata"
"下畑","ja","下畑"
"下畑","ja-Hrkt","シモハタ"
"下畑下","en","Shimohata-shimo"
"下畑下","ja","下畑下"
"下畑下","ja-Hrkt","シモハタシモ"
"下畝","en","Shimoune"
"下畝","ja","下畝"
"下畝","ja-Hrkt","シモウネ"
"下真賀","en","Shimomaga"
"下真賀","ja","下真賀"
"下真賀","ja-Hrkt","シモマガ"
"下神目上公会堂","en","Shimokoumekamikokaido"
"下神目上公会堂","ja","下神目上公会堂"
"下神目上公会堂","ja-Hrkt","シモコウメカミコウカイドウ"
"下芳賀","en","Shimohaga"
"下芳賀","ja","下芳賀"
"下芳賀","ja-Hrkt","シモハガ"
"下野田","en","Shimonoda"
"下野田","ja","下野田"
"下野田","ja-Hrkt","シモノダ"
"下長谷","en","Shimonagatani"
"下長谷","ja","下長谷"
"下長谷","ja-Hrkt","シモナガタニ"
"下阿知中","en","Shimoachi-naka"
"下阿知中","ja","下阿知中"
"下阿知中","ja-Hrkt","シモアチナカ"
"下阿知東","en","Shimoachi-higashi"
"下阿知東","ja","下阿知東"
"下阿知東","ja-Hrkt","シモアチヒガシ"
"下阿知西","en","Shimoachi-nishi"
"下阿知西","ja","下阿知西"
"下阿知西","ja-Hrkt","シモアチニシ"
"下高倉東","en","Shimotakakura-higashi"
"下高倉東","ja","下高倉東"
"下高倉東","ja-Hrkt","シモタカクラヒガシ"
"下齋原","en","Shimosaibara"
"下齋原","ja","下齋原"
"下齋原","ja-Hrkt","シモサイバラ"
"不動滝","en","Fudodaki"
"不動滝","ja","不動滝"
"不動滝","ja-Hrkt","フドウダキ"
"丘","en","Oka"
"丘","ja","丘"
"丘","ja-Hrkt","オカ"
"丘富作業場","en","Okatomisagyojou"
"丘富作業場","ja","丘富作業場"
"丘富作業場","ja-Hrkt","オカトミサギョウジョウ"
"両備前","en","Ryobi-mae"
"両備前","ja","両備前"
"両備前","ja-Hrkt","リョウビマエ"
"両備テクノ前","en","Ryobi Tekuno-mae"
"両備テクノ前","ja","両備テクノ前"
"両備テクノ前","ja-Hrkt","リョウビテクノマエ"
"並木町","en","Namikicho"
"並木町","ja","並木町"
"並木町","ja-Hrkt","ナミキチョウ"
"並木町二丁目","en","Namikicho 2-chome"
"並木町二丁目","ja","並木町二丁目"
"並木町二丁目","ja-Hrkt","ナミキチョウニチョウメ"
"中之町","en","Nakanocho"
"中之町","ja","中之町"
"中之町","ja-Hrkt","ナカノチョウ"
"中井","en","Nakai"
"中井","ja","中井"
"中井","ja-Hrkt","ナカイ"
"中井北","en","Nakai-kita"
"中井北","ja","中井北"
"中井北","ja-Hrkt","ナカイキタ"
"中井川","en","Nakaigawa"
