"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"1_200_1","1_1_20241230","1_144_20241230","工業技術センター",,,,"4_200_1",,,"1"
"1_200_1","1_1_20250316","1_144_20241230","工業技術センター",,,,"4_200_1",,,"1"
"1_200_1","1_1_20241230","1_187_20241230","工業技術センター",,,,"4_200_1",,,"1"
"1_200_1","1_1_20250316","1_187_20241230","工業技術センター",,,,"4_200_1",,,"1"
"1_200_1","1_4_20241230","4_2246_20241230","工業技術センター",,,,"4_200_1",,,"1"
"1_200_1","1_1_20241230","1_184_20241230","工業技術センター",,,,"4_200_1",,,"1"
"1_200_1","1_1_20250316","1_184_20241230","工業技術センター",,,,"4_200_1",,,"1"
"1_200_1","1_4_20250316","4_2246_20241230","工業技術センター",,,,"4_200_1",,,"1"
"1_201_1","1_1_20250316","1_1171_20241230","岡山駅",,,,"4_201_1",,,"1"
"1_201_1","1_1_20241230","1_1171_20241230","岡山駅",,,,"4_201_1",,,"1"
"1_201_1","1_1_20241230","1_161_20241230","岡山駅",,,,"4_201_1",,,"1"
"1_201_1","1_1_20241230","1_1304_20241230","岡山駅",,,,"4_201_1",,,"1"
"1_201_1","1_1_20250316","1_1304_20241230","岡山駅",,,,"4_201_1",,,"1"
"1_201_1","1_4_20241230","4_2278_20241230","岡山駅",,,,"4_201_1",,,"1"
"1_201_1","1_1_20250316","1_161_20241230","岡山駅",,,,"4_201_1",,,"1"
"1_201_1","1_4_20250316","4_2278_20241230","岡山駅",,,,"4_201_1",,,"1"
"1_240_1","1_4_20250316","4_2251_20241230","一宮東",,,,"4_240_1",,,"1"
"1_240_1","1_4_20241230","4_2251_20241230","一宮東",,,,"4_240_1",,,"1"
"1_241_1","1_1_20250316","1_167_20241230","天満屋",,,,"4_241_1",,,"1"
"1_241_1","1_4_20241230","4_2221_20241230","天満屋",,,,"4_241_1",,,"1"
"1_241_1","1_1_20241230","1_167_20241230","天満屋",,,,"4_241_1",,,"1"
"1_241_1","1_1_20250316","1_166_20241230","天満屋",,,,"4_241_1",,,"1"
"1_241_1","1_1_20241230","1_166_20241230","天満屋",,,,"4_241_1",,,"1"
"1_241_1","1_4_20250316","4_2221_20241230","天満屋",,,,"4_241_1",,,"1"
"1_250_1","1_4_20250316","4_2248_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_4_20241230","4_2248_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20250316","1_153_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_4_20250316","4_2153_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_4_20250316","4_2186_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20241230","1_156_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_4_20241230","4_2186_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20241230","1_153_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20241230","1_159_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_4_20241230","4_2153_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20250316","1_143_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20250316","1_188_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20250316","1_159_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20250316","1_156_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20241230","1_143_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_250_1","1_1_20241230","1_188_20241230","佐山団地",,,,"4_250_1",,,"1"
"1_260_1","1_1_20241230","1_155_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20250316","4_2272_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20250316","4_259_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20250316","1_182_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20241230","4_2185_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20241230","1_132_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20250316","1_155_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20250316","4_251_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20241230","4_2226_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20241230","4_2160_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20241230","1_142_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20250316","4_2161_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20250316","1_179_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20241230","4_2170_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20250316","1_157_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20241230","1_129_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20250316","1_135_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20250316","4_2239_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20250316","4_2228_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20241230","4_2228_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20241230","4_2239_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20241230","1_135_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20241230","1_157_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20241230","1_179_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20241230","4_2161_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_1_20250316","1_129_20241230","工業技術センター",,,,"4_260_1",,,"1"
"1_260_1","1_4_20250316","4_2170_20241230","工業技術センター",,,,"4_260_1",,,"1"
