"service_id","date","exception_type"
"2_1046_20250316","20250320","2"
"2_1047_20250316","20250320","1"
"2_1046_20250316","20250429","2"
"2_1047_20250316","20250429","1"
"2_1046_20250316","20250505","2"
"2_1047_20250316","20250505","1"
"2_1046_20250316","20250506","2"
"2_1047_20250316","20250506","1"
"2_1046_20250316","20250721","2"
"2_1047_20250316","20250721","1"
"3_1050_20250316","20250320","2"
"3_1051_20250316","20250320","1"
"3_1050_20250316","20250429","2"
"3_1051_20250316","20250429","1"
"3_1050_20250316","20250505","2"
"3_1051_20250316","20250505","1"
"3_1050_20250316","20250506","2"
"3_1051_20250316","20250506","1"
"3_1050_20250316","20250721","2"
"3_1051_20250316","20250721","1"
"4_1054_20250316","20250320","2"
"4_1055_20250316","20250320","1"
"4_1054_20250316","20250429","2"
"4_1055_20250316","20250429","1"
"4_1054_20250316","20250505","2"
"4_1055_20250316","20250505","1"
"4_1054_20250316","20250506","2"
"4_1055_20250316","20250506","1"
"4_1054_20250316","20250721","2"
"4_1055_20250316","20250721","1"
