"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_1005_1","2_1046_20250316","1046_1102934_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1111017_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_11018112_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1103826_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1102516_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_11136112_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1111414_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1103819_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1112823_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1103534_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1110713_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1113235_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1101116_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_11038112_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1111426_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1112937_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1112816_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1112017_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1102317_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1101718_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1110516_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1111023_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1103916_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1102625_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_11120110_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1111429_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1101737_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_11109112_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1110627_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1103516_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1111719_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_11136115_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_11121111_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1110219_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1113114_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1113217_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1046_20250316","1046_1103219_20250316","大学病院",,,,"2_1005_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1111018_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_11136113_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1047_20250316","1047_2102522_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1111024_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1112222_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1101813_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1113112_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1103442_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1111417_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1102242_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1103827_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1101738_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1103517_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1100422_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1103942_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1102935_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1111812_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1103122_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1103322_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1102932_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_11038110_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1112935_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1112232_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1102924_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1110422_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1104132_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1110714_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_11121112_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1112018_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1047_20250316","1047_2111013_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1111427_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1103535_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1100922_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1111422_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1101025_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1101716_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1046_20250316","1046_1110622_20250316","岡山駅",,,,"2_1006_1",,,"2"
"10001_1007_1","2_1046_20250316","1046_1103434_20250316","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1046_20250316","1046_1103829_20250316","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1046_20250316","1046_11026111_20250316","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1047_20250316","1047_2101627_20250316","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1047_20250316","1047_21026110_20250316","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1046_20250316","1046_1100715_20250316","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1047_20250316","1047_2103316_20250316","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1047_20250316","1047_2112237_20250316","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2100211_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1110111_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1100931_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103121_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1100711_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2101041_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1102521_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1103821_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1110711_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2111431_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2110711_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1101631_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1100221_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1111631_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1102621_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2104121_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2112031_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103021_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1100831_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2110111_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103341_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2102631_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103321_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1102331_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1105831_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1110721_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1103341_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1047_20250316","1047_2103531_20250316","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1046_20250316","1046_1101641_20250316","岡山駅",,,,"2_1008_1",,,"2"
