"service_id","date","exception_type"
"20_896_20250316","20250320","2"
"20_897_20250316","20250320","1"
"20_896_20250316","20250429","2"
"20_897_20250316","20250429","1"
"20_896_20250316","20250505","2"
"20_897_20250316","20250505","1"
"20_896_20250316","20250506","2"
"20_897_20250316","20250506","1"
"20_896_20250316","20250721","2"
"20_897_20250316","20250721","1"
"21_914_20250316","20250316","2"
"21_913_20250316","20250316","1"
"21_911_20250316","20250317","2"
"21_905_20250316","20250317","1"
"21_904_20250316","20250320","2"
"21_913_20250316","20250320","1"
"21_911_20250316","20250321","2"
"21_905_20250316","20250321","1"
"21_914_20250316","20250322","2"
"21_913_20250316","20250322","1"
"21_914_20250316","20250323","2"
"21_913_20250316","20250323","1"
"21_911_20250316","20250324","2"
"21_905_20250316","20250324","1"
"21_911_20250316","20250328","2"
"21_905_20250316","20250328","1"
"21_914_20250316","20250329","2"
"21_913_20250316","20250329","1"
"21_914_20250316","20250330","2"
"21_913_20250316","20250330","1"
"21_911_20250316","20250331","2"
"21_905_20250316","20250331","1"
"21_914_20250316","20250419","2"
"21_915_20250316","20250419","1"
"21_914_20250316","20250420","2"
"21_915_20250316","20250420","1"
"21_904_20250316","20250423","2"
"21_911_20250316","20250423","1"
"21_904_20250316","20250424","2"
"21_911_20250316","20250424","1"
"21_914_20250316","20250426","2"
"21_915_20250316","20250426","1"
"21_914_20250316","20250427","2"
"21_915_20250316","20250427","1"
"21_904_20250316","20250429","2"
"21_915_20250316","20250429","1"
"21_904_20250316","20250501","2"
"21_911_20250316","20250501","1"
"21_914_20250316","20250503","2"
"21_915_20250316","20250503","1"
"21_914_20250316","20250504","2"
"21_915_20250316","20250504","1"
"21_911_20250316","20250505","2"
"21_915_20250316","20250505","1"
"21_904_20250316","20250506","2"
"21_915_20250316","20250506","1"
"21_904_20250316","20250507","2"
"21_911_20250316","20250507","1"
"21_914_20250316","20250510","2"
"21_915_20250316","20250510","1"
"21_914_20250316","20250511","2"
"21_915_20250316","20250511","1"
"21_904_20250316","20250514","2"
"21_911_20250316","20250514","1"
"21_904_20250316","20250515","2"
"21_911_20250316","20250515","1"
"21_914_20250316","20250517","2"
"21_915_20250316","20250517","1"
"21_914_20250316","20250518","2"
"21_915_20250316","20250518","1"
"21_904_20250316","20250521","2"
"21_911_20250316","20250521","1"
"21_904_20250316","20250522","2"
"21_911_20250316","20250522","1"
"21_914_20250316","20250524","2"
"21_915_20250316","20250524","1"
"21_914_20250316","20250525","2"
"21_915_20250316","20250525","1"
"21_911_20250316","20250606","2"
"21_904_20250316","20250606","1"
"21_911_20250316","20250721","2"
"21_914_20250316","20250721","1"
"25_906_20250316","20250320","2"
"25_909_20250316","20250320","1"
"25_906_20250316","20250321","2"
"25_907_20250316","20250321","1"
"25_906_20250316","20250324","2"
"25_907_20250316","20250324","1"
"25_906_20250316","20250325","2"
"25_907_20250316","20250325","1"
"25_906_20250316","20250326","2"
"25_907_20250316","20250326","1"
"25_906_20250316","20250327","2"
"25_907_20250316","20250327","1"
"25_906_20250316","20250328","2"
"25_907_20250316","20250328","1"
"25_906_20250316","20250331","2"
"25_907_20250316","20250331","1"
"25_906_20250316","20250401","2"
"25_907_20250316","20250401","1"
"25_906_20250316","20250402","2"
"25_907_20250316","20250402","1"
"25_906_20250316","20250403","2"
"25_907_20250316","20250403","1"
"25_906_20250316","20250404","2"
"25_907_20250316","20250404","1"
"25_906_20250316","20250407","2"
"25_907_20250316","20250407","1"
"25_906_20250316","20250429","2"
"25_909_20250316","20250429","1"
"25_906_20250316","20250505","2"
"25_909_20250316","20250505","1"
"25_906_20250316","20250506","2"
"25_909_20250316","20250506","1"
"25_906_20250316","20250721","2"
"25_909_20250316","20250721","1"
"25_906_20250316","20250723","2"
"25_907_20250316","20250723","1"
"25_906_20250316","20250724","2"
"25_907_20250316","20250724","1"
"25_906_20250316","20250725","2"
"25_907_20250316","20250725","1"
"25_906_20250316","20250728","2"
"25_907_20250316","20250728","1"
"25_906_20250316","20250729","2"
"25_907_20250316","20250729","1"
"25_906_20250316","20250730","2"
"25_907_20250316","20250730","1"
"25_906_20250316","20250731","2"
"25_907_20250316","20250731","1"
"29_898_20250316","20250317","2"
"29_899_20250316","20250317","1"
"29_898_20250316","20250318","2"
"29_899_20250316","20250318","1"
"29_898_20250316","20250319","2"
"29_899_20250316","20250319","1"
"29_898_20250316","20250320","2"
"29_901_20250316","20250320","1"
"29_898_20250316","20250321","2"
"29_899_20250316","20250321","1"
"29_898_20250316","20250324","2"
"29_899_20250316","20250324","1"
"29_898_20250316","20250325","2"
"29_899_20250316","20250325","1"
"29_898_20250316","20250326","2"
"29_899_20250316","20250326","1"
"29_898_20250316","20250327","2"
"29_899_20250316","20250327","1"
"29_898_20250316","20250328","2"
"29_899_20250316","20250328","1"
"29_898_20250316","20250331","2"
"29_899_20250316","20250331","1"
"29_898_20250316","20250429","2"
"29_901_20250316","20250429","1"
"29_900_20250316","20250503","2"
"29_901_20250316","20250503","1"
"29_898_20250316","20250505","2"
"29_901_20250316","20250505","1"
"29_898_20250316","20250506","2"
"29_901_20250316","20250506","1"
"29_898_20250316","20250721","2"
"29_901_20250316","20250721","1"
